brand,series,model,fuel_type,gear_type,engine_cc,hp
Alfa Romeo,Gt,2.0 Jts Distinctive,Benzin,Manuel,1984.0,
Alfa Romeo,Gt,2.0 Jts Distinctive Selespeed,Benzin,Manuel,1984.0,
Alfa Romeo,159,1.9 Jtd Progression,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jts Distinctive,Benzin,Manuel,,
Alfa Romeo,159,1.9 Jtd Distinctive,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jtd Distinctive Ov,Dizel,Manuel,,
Alfa Romeo,Brera,2.2 Jts,Benzin,Manuel,2179.0,
Alfa Romeo,Brera,2.2 Jts Sky Window,Benzin,Manuel,2179.0,
Alfa Romeo,Brera,2.4 Jtd Sky Window,Dizel,Manuel,2393.0,
Alfa Romeo,Brera,3.2 V6 Q4,Benzin,Manuel,,
Alfa Romeo,Brera,3.2 V6 Q4 Sky Window,Benzin,Manuel,,
Alfa Romeo,147,1.6 5 Kapi Progression (105),Benzin,Manuel,1598.0,
Alfa Romeo,147,1.6 3 Kapi Progression (105),Benzin,Manuel,1598.0,
Alfa Romeo,147,1.6 5 Colleizone (120),Benzin,Manuel,1598.0,
Alfa Romeo,147,2.0 5 Kapi Selespeed Blackline,Benzin,Manuel,1984.0,
Alfa Romeo,147,1.6 5 Kapi Distinctive (105),Benzin,Manuel,1598.0,
Alfa Romeo,159,1.9 Jtd Progression Q-Tronic,Dizel,Otomatik,,
Alfa Romeo,159,1.9 Jtd Distinctive Q-Tronic,Dizel,Otomatik,,
Alfa Romeo,147,1.9 Jtd Q2,Dizel,Manuel,,
Alfa Romeo,159,1.8 Mpi Distinctive,Benzin,Manuel,1798.0,
Alfa Romeo,159,1.8 Mpi Distinctive Plus,Benzin,Manuel,1798.0,
Alfa Romeo,159,1.9 Jts Distinctive Plus,Benzin,Manuel,,
Alfa Romeo,159,1.9 Jtd Distinctive Plus,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jtd Distinctive Plus Q-Tronic,Dizel,Otomatik,,
Alfa Romeo,159,1.9 Jtd Distinctive Q-Tronic Sportsw,Dizel,Otomatik,,
Alfa Romeo,159,1.8 Mpi Distinctive Plus Sportswagon,Benzin,Manuel,1798.0,
Alfa Romeo,159,1.9 Jtd Distinctive Plus Sportswagon,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jtd D.Ctive Plus Q-Tronic Sports,Dizel,Otomatik,,
Alfa Romeo,Brera,3.2 V6 Q4 Q-Tronic,Benzin,Otomatik,,
Alfa Romeo,Mito,1.4 (78) Junior 3 Kapi,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb (155) Progression 3 Kapi,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb (155) Distinctive 3 Kapi,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.6 Jtd (120) Progression 3 Kapi,Dizel,Manuel,1598.0,
Alfa Romeo,Mito,1.6 Jtd (120) Distinctive 3 Kapi,Dizel,Manuel,1598.0,
Alfa Romeo,159,1.9 Jtd (150) New Distinctive Plus,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jtd (150) New D.Tive Plus Q-Tron,Dizel,Manuel,,
Alfa Romeo,159,1.8 Tbi (200) New Distinctive Plus,Benzin,Manuel,1798.0,
Alfa Romeo,Mito,1.4 Tb Multiair 170 Quad.Verde 3K,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb 120 Progression Plus,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb 120 Distinctive,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb Multiair 170 Distinctive,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.6 Jtd 105 Progression Plus,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtd 105 Distinctive,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.750 Tb 235 Quagrifoglio Verde,Benzin,Manuel,,
Alfa Romeo,Mito,1.4 Tb Multiair 135 Dis.Tive Tct 3 K,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb Multiair (135) Tct City,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb Multiair (135) Tct Sportivo,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb Multiar (135) Tct,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb M.Air 170 Tct Prog.Plu,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb M.Air 170 Tct Distinctive,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb Multiair (170),Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.3 Jtd (95) City,Dizel,Manuel,1332.0,
Alfa Romeo,4C,Launch Edition 1.750 Tb 240 Tct,Benzin,Manuel,,
Alfa Romeo,Giulietta,1.8 Tbi 240 Tct Qv,Benzin,Manuel,1798.0,
Alfa Romeo,Mito,1.3 Jtd (85) City,Dizel,Manuel,1332.0,
Alfa Romeo,Mito,1.4 170 3 Kapi Qv Tct S2,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.6 Jtd 120 Progression,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtdm 120 Progression Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtdm 120 Super Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.4 Tb Multiair 170 Super Tct,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.8 Tbi 240 Veloce Tct,Benzin,Manuel,1798.0,
Alfa Romeo,4C,1.8 240 Tct,Benzin,Manuel,1798.0,
Alfa Romeo,4C,Spider 1.8 240 Tct,Benzin,Manuel,1798.0,
Alfa Romeo,Giulietta,1.6 Jtd 120 Super,Dizel,Manuel,1598.0,
Alfa Romeo,Giulia,2.0 200 Super Rwd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,2.0 280 Veloce Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,2.9 510 Qv Rwd At,Benzin,Otomatik,,
Alfa Romeo,Stelvio,2.0 280 Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,2.0 200 Sprint Rwd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,2.0 200 Sprint Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,2.0 280 Veloce Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulietta,1.6 Jtd 120 Sprint Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtd 120 Ti Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtd Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Stevio,Quadrifoglio 2.9 (510),Benzin,Manuel,,
Alfa Romeo,Tonale,Edizione Speciale 1.5 Hybrid 160 Dct,Hibrit,Otomatik,1498.0,
Alfa Romeo,Giulia,2.0 280 Estrema Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,2.0 280 Estrema Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Tonale,Ti 1.6 Diesel 130 Dct,Benzin,Otomatik,1598.0,
Alfa Romeo,Tonale,Sprint 1.6 Diesel 130 Dct,Benzin,Otomatik,1598.0,
Alfa Romeo,Tonale,Ti 1.5 Hybrid 160 Tct,Hibrit,Manuel,1498.0,
Alfa Romeo,Tonale,Veloce 1.5 Hybrid 160 Tct,Hibrit,Manuel,1498.0,
Alfa Romeo,Giulia,2.0 280 Lusso Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,2.0 280 Lusso Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,Mca 2.0 280 Competizione Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,Mca 2.0 280 Veloce Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,Mca 2.0 280 Veloce Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,Mca 2.0 280 Competizione Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Tonale,Veloce 1.3 280 Plug-In Hybrid Eawd,Hibrit,Manuel,1332.0,
Alfa Romeo,Giulia,2.9 520 Qv Rwd At,Benzin,Otomatik,,
Alfa Romeo,Stelvio,2.9 520 Qv Awd At,Benzin,Otomatik,,
Alfa Romeo,Tonale,Speciale 1.6 Diesel 130 Dct,Benzin,Otomatik,1598.0,
Alfa Romeo,Tonale,Speciale 1.5 Vgt 160 Hybrid Tct,Hibrit,Manuel,1498.0,
Alfa Romeo,Tonale,Tributo 1.5 Vgt 160 Hybrid Tct,Hibrit,Manuel,1498.0,
Alfa Romeo,Tonale,Tributo 1.6 Diesel 130 Dct,Benzin,Otomatik,1598.0,
Alfa Romeo,Tonale,Tributo 1.3 Plug-In Hybrid 280 Eawd,Hibrit,Manuel,1332.0,
Alfa Romeo,Junior,Elettrica 115Kw (156),Benzin,Manuel,,
Alfa Romeo,Junior,Elettrica Speciale 115Kw (156),Benzin,Manuel,,
Alfa Romeo,Junior,Ibrida 1.2 136 Hybrid,Hibrit,Manuel,1197.0,
Alfa Romeo,Junior,Ibrida Speciale 1.2 136 Hybrid,Hibrit,Manuel,1197.0,
Aston Martin,V8,Vantage,Benzin,Manuel,,
Aston Martin,Db9,Volante,Benzin,Manuel,,
Aston Martin,Db9,Volante Touchtronic,Benzin,Manuel,,
Aston Martin,Db9,Coupe,Benzin,Manuel,,
Aston Martin,Db9,Coupe Touchtronic,Benzin,Manuel,,
Aston Martin,Dbs,6.0,Benzin,Manuel,,
Aston Martin,Rapide,6.0 Volante Touchtronic,Benzin,Manuel,,
Aston Martin,Db9,6.0 Volante Touchtronic,Benzin,Manuel,,
Aston Martin,Dbs,6.0 Touchtronic,Benzin,Manuel,,
Aston Martin,V8,Vantage Sportshift Coupe,Benzin,Manuel,,
Aston Martin,V8,Vantage Sportshift Roadster,Benzin,Manuel,,
Aston Martin,V8,Vantage S Coupe,Benzin,Manuel,,
Aston Martin,V8,Vantage S Roadstar Sportsshift Ii,Benzin,Manuel,,
Aston Martin,V12,Vantage Coupe,Benzin,Manuel,,
Aston Martin,Rapide,Touchtronic,Benzin,Manuel,,
Aston Martin,Virage,Coupe Touchtronic,Benzin,Manuel,,
Aston Martin,Virage,Volante Touchtronic,Benzin,Manuel,,
Aston Martin,Vanquish,6.0,Benzin,Manuel,,
Aston Martin,Rapide,S,Benzin,Manuel,,
Aston Martin,Db11,,Benzin,Manuel,,
Aston Martin,Cg,1.3,Benzin,Manuel,1332.0,
Aston Martin,Dbs,Superleggera 5.2,Benzin,Manuel,,
Aston Martin,Vantage,Coupe 4.0,Benzin,Manuel,,
Aston Martin,Rapide,Amr,Benzin,Manuel,,
Aston Martin,Db11,4.0,Benzin,Manuel,,
Aston Martin,Db11,Amr 5.2,Benzin,Manuel,,
Aston Martin,Dbx,,Benzin,Manuel,,
Aston Martin,Vantage,Roadstar 4.0,Benzin,Manuel,,
Aston Martin,Db11,V8 Volante,Benzin,Manuel,,
Aston Martin,Db11,4.0 V8 Cabrio,Benzin,Manuel,,
Aston Martin,Vantage,F1 Coupe 4.0,Benzin,Manuel,,
Aston Martin,Dbx,707 4.0 V8 Awd At,Benzin,Otomatik,,
Aston Martin,V12,Vantage S 6.0,Benzin,Manuel,,
Aston Martin,Db12,Coupe 4.0 V8,Benzin,Manuel,,
Aston Martin,Db12,Volante 4.0 V8,Benzin,Manuel,,
Aston Martin,Dbs,5.2 V12,Benzin,Manuel,,
Aston Martin,Dbs,770 5.2 V12,Benzin,Manuel,,
Aston Martin,V8,Vantage Coupe 4.0,Benzin,Manuel,,
Aston Martin,Vanquish,5.2 V12,Benzin,Manuel,,
Audi,A4,1.6,Benzin,Manuel,1598.0,
Audi,A4,1.8 Turbo,Benzin,Manuel,1798.0,
Audi,S4,Quattro,Benzin,Manuel,,
Audi,S6,Quattro Tiptronic,Benzin,Otomatik,,
Audi,A4,2.0,Benzin,Manuel,1984.0,
Audi,A4,2.0 Multitronic,Benzin,Otomatik,1984.0,
Audi,A4,1.8T Multitronic,Benzin,Otomatik,,
Audi,A4,Avant 1.6,Benzin,Manuel,1598.0,
Audi,A6,Avant 3.0 Quattro Tiptronic,Benzin,Otomatik,2979.0,
Audi,A6,Avant 4.2 Quattro Tiptronic,Benzin,Otomatik,,
Audi,S6,Avant Quattro Tiptronic,Benzin,Otomatik,,
Audi,A3,1.6,Benzin,Manuel,1598.0,
Audi,A3,2.0 Tdi,Dizel,Manuel,1984.0,
Audi,S4,Quattro Tiptronic,Benzin,Otomatik,,
Audi,S4,Avant Quattro,Benzin,Manuel,,
Audi,S4,Avant Quattro Tiptronic,Benzin,Otomatik,,
Audi,A6,3.0 Tdi Quattro Tiptronic,Dizel,Otomatik,2979.0,
Audi,A6,3.2 Fsi,Benzin,Manuel,,
Audi,A6,3.2 Fsi Quattro,Benzin,Manuel,,
Audi,A3,1.6 Fsi,Benzin,Manuel,1598.0,
Audi,A3,Sportback 1.6,Benzin,Manuel,1598.0,
Audi,A3,Sportback 1.6 Fsi,Benzin,Manuel,1598.0,
Audi,A3,Sportback 2.0 Fsi,Benzin,Manuel,1984.0,
Audi,A3,Sportback 2.0 Tdi,Dizel,Manuel,1984.0,
Audi,A6,2.0 Tdi,Dizel,Manuel,1984.0,
Audi,A8,Long 6.0 Quattro Tiptronic,Benzin,Otomatik,,
Audi,A8,3.0 Tdi Quattro Tiptronic,Dizel,Otomatik,2979.0,
Audi,A4,2.0T Fsi,Benzin,Manuel,,
Audi,A4,2.0T Fsi Multitronic,Benzin,Otomatik,,
Audi,A4,2.0T Fsi Quattro,Benzin,Manuel,,
Audi,A4,2.0T Fsi Quattro Tiptronic,Benzin,Otomatik,,
Audi,A4,3.0 Tdi Quattro,Dizel,Manuel,2979.0,
Audi,A4,2.0 Tdi,Dizel,Manuel,1984.0,
Audi,A4,2.0 Tdi Multitronic,Dizel,Otomatik,1984.0,
Audi,A4,2.0 T Fsi Quattro-Dtm Edition,Benzin,Manuel,1984.0,
Audi,A4,Avant 2.0,Benzin,Manuel,1984.0,
Audi,A4,Avant 2.0 T Fsi Multitronic,Benzin,Otomatik,1984.0,
Audi,A4,Avant 2.0 T Fsi Quattro,Benzin,Manuel,1984.0,
Audi,A4,Avant 2.0 T Fsi Quattro Tiptronic,Benzin,Otomatik,1984.0,
Audi,A4,Avant 3.2 Fsi Quattro Tiptronic,Benzin,Otomatik,,
Audi,A4,Avant 2.0 Tdi,Dizel,Manuel,1984.0,
Audi,A4,Avant 2.0 Tdi Multitronic,Dizel,Otomatik,1984.0,
Audi,A4,Avant 3.0 Tdi Quattro,Dizel,Manuel,2979.0,
Audi,A6,2.0 T Fsi,Benzin,Manuel,1984.0,
Audi,A6,2.0 T Fsi Multironic,Benzin,Manuel,1984.0,
Audi,A6,Avant 2.0 Tdi,Dizel,Manuel,1984.0,
Audi,A6,Avant 2.0 T Fsi,Benzin,Manuel,1984.0,
Audi,A6,Avant 2.0 T Fsi Multitronic,Benzin,Otomatik,1984.0,
Audi,A8,3.2 Fsi Multitronic,Benzin,Otomatik,,
Audi,A8,3.2 Fsi Quattro Tiptronic,Benzin,Otomatik,,
Audi,A8,L 3.2 Fsi Multitronic,Benzin,Otomatik,,
Audi,Q7,3.0 Tdi Quattro Tiptronic,Dizel,Otomatik,2979.0,
Audi,Q7,4.2 Fsi Quattro Tiptronic,Benzin,Otomatik,,
Audi,A3,2.0 T Fsi,Benzin,Manuel,1984.0,
Audi,A3,2.0 T Fsi Quattro Ambiente,Benzin,Manuel,1984.0,
Audi,A3,3.2 Fsi Quattro Ambition,Benzin,Manuel,,
Audi,A3,Sportback 2.0 T Fsi,Benzin,Manuel,1984.0,
Audi,A3,Sportback 2.0 T Fsi Dsg Ambition,Benzin,Otomatik,1984.0,
Audi,A3,Sportback 2.0 T Fsi Quattro Ambiente,Benzin,Manuel,1984.0,
Audi,A3,Sportback 2.0 T Fsi S Tronic Ambiente,Benzin,Otomatik,1984.0,
Audi,A3,Sportback 3.2 Quattro S Tronic Ambition,Benzin,Otomatik,,
Audi,A3,Sportback 2.0 Tdi S Tronic,Dizel,Otomatik,1984.0,
Audi,Rs4,4.2 Fsi Quattro,Benzin,Manuel,,
Audi,Rs4,Avant 4.2 Fsi Quattro,Benzin,Manuel,,
Audi,A6,2.7 Tdi,Dizel,Manuel,,
Audi,A6,2.7 Tdi Multitronic,Dizel,Otomatik,,
Audi,A6,2.7 Tdi Quattro Tiptronic,Dizel,Otomatik,,
Audi,A6,Avant 2.7 Tdi Multitronic,Dizel,Otomatik,,
Audi,A6,Avant 3.0 Tdi Quattro Tiptronic,Dizel,Otomatik,2979.0,
Audi,A6,Allroad Quattro 2.7 Tdi Tiptronic,Dizel,Otomatik,,
Audi,A6,Allroad Quattro 3.0 Tdi,Dizel,Manuel,2979.0,
Audi,A6,Allroad Quattro 3.0 Tdi Tiptronic,Dizel,Otomatik,2979.0,
Audi,A6,Allroad Quattro 3.2 Fsi,Benzin,Manuel,,
Audi,A6,Allroad Quattro 3.2 Fsi Tiptronic,Benzin,Otomatik,,
Audi,A6,Allroad Quattro 4.2 Fsi Tiptronic,Benzin,Otomatik,,
Audi,S8,,Benzin,Manuel,,
Audi,A6,2.0 Tfsi Tiptronic,Benzin,Otomatik,1984.0,
Audi,Tt,2.0 Tfsi,Benzin,Manuel,1984.0,
Audi,Tt,2.0 Tfsi S Tronic,Benzin,Otomatik,1984.0,
Audi,Tt,3.2 Quattro S Tronic,Benzin,Otomatik,,
Audi,A3,2.0 Tdi S Tronic,Dizel,Otomatik,1984.0,
Audi,A4,Cabriolet 2.0T Fsi,Benzin,Manuel,,
Audi,A4,Cabriolet 2.0T Fsi Multitronic,Benzin,Otomatik,,
Audi,A6,4.2 Fsi Quattro Tiptronic,Benzin,Otomatik,,
Audi,A6,Avant 4.2 Fsi Quattro Tiptronic,Benzin,Otomatik,,
Audi,A8,4.2 Fsi Quattro Tiptronic,Benzin,Otomatik,,
Audi,A8,L 4.2 Fsi Quattro Tiptronic,Benzin,Otomatik,,
Audi,A6,2.0 Tdi Multironic,Dizel,Manuel,1984.0,
Audi,A6,Avant 2.0 Tdi Multitronic,Dizel,Otomatik,1984.0,
Audi,A3,1.8 Tfsi,Benzin,Manuel,1798.0,
Audi,A3,1.8 Tfsi S Tronic,Benzin,Otomatik,1798.0,
Audi,A3,Sportback 1.8 Tfsi,Benzin,Manuel,1798.0,
Audi,A3,Sportback 1.8 Tfsi S Tronic,Benzin,Otomatik,1798.0,
Audi,Ttr,2.0 Tfsi,Benzin,Manuel,1984.0,
Audi,Ttr,2.0 Tfsi S Tronic,Benzin,Otomatik,1984.0,
Audi,Ttr,3.2 Quattro S Tronic,Benzin,Otomatik,,
Audi,R8,4.2 Fsi,Benzin,Manuel,,
Audi,R8,4.2 Fsi R Tronic,Benzin,Otomatik,,
Audi,S3,2.0 Tfsi Quattro,Benzin,Manuel,1984.0,
Audi,A5,Coupe 2.7 Tdi Multitronic,Dizel,Otomatik,,
Audi,A5,Coupe 3.0 Tdi Quattro,Dizel,Manuel,2979.0,
Audi,A5,Coupe 3.2 Fsi Multitronic,Benzin,Otomatik,,
Audi,S5,Coupe 4.2 Fsi Quattro,Benzin,Manuel,,
Audi,A3,1.4 Tfsi (125),Benzin,Manuel,1395.0,
Audi,A3,Sportback 1.4 Tfsi (125),Benzin,Manuel,1395.0,
Audi,A5,Coupe 1.8 Tfsi,Benzin,Manuel,1798.0,
Audi,A8,3.0 Tdi Quattro Tiptronic Long,Dizel,Otomatik,2979.0,
Audi,A4,1.8 Tfsi (160),Benzin,Manuel,1798.0,
Audi,A4,1.8 Tfsi Multitronic (160),Benzin,Otomatik,1798.0,
Audi,A4,2.0 Tdi (143),Dizel,Manuel,1984.0,
Audi,A4,2.0 Tdi Multitronic (140),Dizel,Otomatik,1984.0,
Audi,A4,2.0 Tdi (170),Dizel,Manuel,1984.0,
Audi,A4,2.7 Tdi Multitronic (190),Dizel,Otomatik,,
Audi,A4,3.0 Tdi Multitronic (240),Dizel,Otomatik,2979.0,
Audi,Q7,3.0 Tdi S-Line,Dizel,Manuel,2979.0,
Audi,A5,Coupe 1.8 Tfsi Multitronic,Benzin,Otomatik,1798.0,
Audi,A4,3.0 Tdi Quattro (240),Dizel,Manuel,2979.0,
Audi,A3,Cabriolet 1.8 Tfsi (160),Benzin,Manuel,1798.0,
Audi,A3,Cabriolet 1.8 Tfsi S Tronic (160),Benzin,Otomatik,1798.0,
Audi,A3,Cabriolet 2.0 Tfsi (200),Benzin,Manuel,1984.0,
Audi,A3,Cabriolet 1.9 Tdi (105),Dizel,Manuel,,
Audi,A3,Cabriolet 2.0 Tdi (140),Dizel,Manuel,1984.0,
Audi,A3,Cabriolet 2.0 Tdi S Tronic (140),Dizel,Otomatik,1984.0,
Audi,A3,1.4 Tfsi S Tronic (125),Benzin,Otomatik,1395.0,
Audi,A3,Sportback 1.4 Tfsi S Tronic (122),Benzin,Otomatik,1395.0,
Audi,A4,1.8 Tfsi (120),Benzin,Manuel,1798.0,
Audi,A3,1.6 S Tronic,Benzin,Otomatik,1598.0,
Audi,A3,Sportback 1.6 S Tronic,Benzin,Otomatik,1598.0,
Audi,Tts,Coupe 2.0 Tfsi Quattro,Benzin,Manuel,1984.0,
Audi,Tts,Coupe 2.0 Tfsi Quattro S Tronic,Benzin,Otomatik,1984.0,
Audi,Tts,Roadstar 2.0 Tfsi Quattro,Benzin,Manuel,1984.0,
Audi,Tts,Roadstar 2.0 Tfsi Quattro S Tronic,Benzin,Otomatik,1984.0,
Audi,A5,Coupe 2.0 Tfsi (180),Benzin,Manuel,1984.0,
Audi,A5,Coupe 2.0 Tfsi (180) Multitronic,Benzin,Otomatik,1984.0,
Audi,A5,Coupe 2.0 Tfsi (211) Multitronic,Benzin,Otomatik,1984.0,
Audi,A5,Coupe 2.0 Tfsi (211) Quattro,Benzin,Manuel,1984.0,
Audi,A5,Coupe 3.0 Tdi Quattro Tiptronic,Dizel,Otomatik,2979.0,
Audi,A5,Coupe 3.2 Fsi Quattro Tiptronic,Benzin,Otomatik,,
Audi,S5,Coupe 4.2 Quattro Tiptronic,Benzin,Otomatik,,
Audi,Q5,2.0 Tdi Quattro 170,Dizel,Manuel,1984.0,
Audi,Q5,2.0 Tdi Quattro 170 S Tronic,Dizel,Otomatik,1984.0,
Audi,Q5,2.0 Tfsi Quattro 211 S Tronic,Benzin,Otomatik,1984.0,
Audi,Q5,3.0 Tdi Quattro S Tronic,Dizel,Otomatik,2979.0,
Audi,A3,1.8 Tfsi Quattro,Benzin,Manuel,1798.0,
Audi,A3,2.0 Tfsi Quattro S Tronic Ambition,Benzin,Otomatik,1984.0,
Audi,A3,Sportback 1.8 Tfsi Quattro,Benzin,Manuel,1798.0,
Audi,A3,Sportback 2.0 Tfsi Quattro S Tronic,Benzin,Otomatik,1984.0,
Audi,S3,Sportback 2.0 Tfsi Quattro,Benzin,Manuel,1984.0,
Audi,A3,Cabriolet 1.6,Benzin,Manuel,1598.0,
Audi,A4,1.8 Tfsi (120) Multitronic,Benzin,Otomatik,1798.0,
Audi,A2,2.0 Tfsi (211) Quattro S Tronic,Benzin,Otomatik,1984.0,
Audi,A4,Avant 1.8 Tfsi (120) Multitronic,Benzin,Otomatik,1798.0,
Audi,A4,Avant 2.0 Tfsi (211) Quattro S Tronic,Benzin,Otomatik,1984.0,
Audi,A6,3.0 Tfsi Quattro Tiptronic,Benzin,Otomatik,2979.0,
Audi,Rs6,5.0 (580),Benzin,Manuel,,
Audi,Rs6,Avant 5.0 (580),Benzin,Manuel,,
Audi,Tt,Coupe 1.8 Tfsi (160),Benzin,Manuel,1798.0,
Audi,Tt,Coupe 2.0 Tdi Quattro (170),Dizel,Manuel,1984.0,
Audi,Tt,Roadstar 2.0 Tdi Quattro,Dizel,Manuel,1984.0,
Audi,Tt,Roadstar 2.0 Tfsi Quattro,Benzin,Manuel,1984.0,
Audi,Tt,Roadstar 2.0 Tfsi Quattro S Tronic,Benzin,Otomatik,1984.0,
Audi,A6,2.0 Tdi (170) Multitronic,Dizel,Otomatik,1984.0,
Audi,A6,2.8 Fsi (220) Multitronic,Benzin,Otomatik,,
Audi,S4,Quattro S Tronic,Benzin,Otomatik,,
Audi,A4,Avant 1.8 Tfsi (160) Multitronic,Benzin,Otomatik,1798.0,
Audi,S4,Avant S Tronic,Benzin,Otomatik,,
Audi,A4,Allroad Quattro 2.0 Tfsi 211 S Tronic,Benzin,Otomatik,1984.0,
Audi,A4,Allroad Quattro 2.0 Tdi (170),Dizel,Manuel,1984.0,
Audi,A4,Allroad Quattro 3.0 Tdi 240 S Tronic,Dizel,Otomatik,2979.0,
Audi,A5,Coupe 2.0 Tfsi (211) Quattro S Tronic,Benzin,Otomatik,1984.0,
Audi,A5,Coupe 2.0 Tdi (170) Quattro,Dizel,Manuel,1984.0,
Audi,A5,Cabriolet 2.0 Tfsi (180) Multitronic,Benzin,Otomatik,1984.0,
Audi,A5,Cabriolet 2.0 Tfsi (211) Multitronic,Benzin,Otomatik,1984.0,
Audi,A5,Cabriolet 2.0 Tfsi 211 Quattro S Tron,Benzin,Manuel,1984.0,
Audi,A5,Cabriolet 2.7 Tdi Multitronic,Dizel,Otomatik,,
Audi,A5,Cabriolet 3.0 Tdi Quattro S Tronic,Dizel,Otomatik,2979.0,
Audi,A5,Cabriolet 3.2 Fsi Quattro S Tronic,Benzin,Otomatik,,
Audi,S5,Cabriolet S Tronic,Benzin,Otomatik,,
Audi,Tt,Roadstar 1.8 Tfsi (160),Benzin,Manuel,1798.0,
Audi,A5,Sportback 2.0 Tfsi (180),Benzin,Manuel,1984.0,
Audi,A5,Sportback 2.0 Tfsi (180) Multitronic,Benzin,Otomatik,1984.0,
Audi,A5,Sportback 2.0 Tfsi (211) Quatto S Tro,Benzin,Manuel,1984.0,
Audi,A5,Sportback 2.0 Tdi (143) Multitronic,Dizel,Otomatik,1984.0,
Audi,A5,Sportback 2.0 Tdi (170) Quattro,Dizel,Manuel,1984.0,
Audi,A5,Sportback 3.0 Tdi Quattro S Tronic,Dizel,Otomatik,2979.0,
Audi,A5,Sportback 3.2 Fsi Quattro S Tronic,Benzin,Otomatik,,
Audi,S5,Sportback 3.0 S Tronic,Benzin,Otomatik,2979.0,
Audi,Q7,6.0 V12 Tdi Quattro Tiptronic,Dizel,Otomatik,,
Audi,A6,Avant 2.0 Tdi Multitronic (170),Dizel,Otomatik,1984.0,
Audi,A6,Avant 3.0 Tfsi Quattro Tiptronic,Benzin,Otomatik,2979.0,
Audi,R8,5.2 Fsi Quattro,Benzin,Manuel,,
Audi,R8,5.2 Fsi Quattro R Tronic,Benzin,Otomatik,,
Audi,A5,Cabrolet 1.8 Tfsi,Benzin,Manuel,1798.0,
Audi,A5,Cabrolet 1.8 Tfsi Multitronic,Benzin,Otomatik,1798.0,
Audi,A8,4.2 Tdi Quattro Tiptronic,Dizel,Otomatik,,
Audi,A1,1.4 Tfsi (122),Benzin,Manuel,1395.0,
Audi,A1,1.4 Tfsi (122) Stronic,Benzin,Manuel,1395.0,
Audi,A1,1.6 Tdi (105),Dizel,Manuel,1598.0,
Audi,A3,1.6 Tdi Stronic,Dizel,Manuel,1598.0,
Audi,A3,Sportback 1.6 Tdi Stronic,Dizel,Manuel,1598.0,
Audi,A5,Sportback 1.8 Tfsi (160),Benzin,Manuel,1798.0,
Audi,A7,Sportback 3.0 Tfsi (300) Quattro Stro,Benzin,Manuel,2979.0,
Audi,A7,Sportback 3.0 Tdi (245) Quattro Stron,Dizel,Manuel,2979.0,
